aleo_grupa,aleo_podgrupa,pkd_primary,pkd_secondary
"Rolnictwo, hodowla i uprawa",Nawozy i środki ochrony roślin,01.29.Z,01.13.Z|01.11.Z|01.16.Z|01.28.Z|01.27.Z
"Rolnictwo, hodowla i uprawa",Płody rolne,01.50.Z,01.41.Z|01.47.Z|01.46.Z|01.48.Z|01.45.Z
"Rolnictwo, hodowla i uprawa",Rybołówstwo,03.30.Z,03.11.Z|03.12.Z|01.42.Z|01.41.Z|01.47.Z
"Rolnictwo, hodowla i uprawa",Inne,01.46.Z,01.41.Z|01.47.Z|01.48.Z|01.45.Z|01.21.Z
RTV i AGD,AGD,46.82.Z,27.20.Z|47.64.Z|26.20.Z|95.32.Z|27.31.Z
RTV i AGD,RTV i fotografia,95.32.Z,95.23.Z|95.24.Z|95.25.Z|47.75.Z|27.20.Z
RTV i AGD,Serwis sprzętu RTV i AGD,95.10.Z,26.30.Z|47.63.Z|27.33.Z|27.40.Z|27.90.Z
Surowce i półprodukty,Drewno,24.34.Z,20.20.A|16.24.Z|16.25.Z|23.13.Z|22.11.Z
Surowce i półprodukty,Dzianiny,24.44.Z,25.63.Z|17.23.Z|24.41.Z|24.54.A|16.24.Z
Surowce i półprodukty,Górnictwo,09.90.Z,07.10.Z|06.10.Z|06.20.Z|07.21.Z|08.99.Z
Surowce i półprodukty,Guma,24.34.Z,17.24.Z|22.12.Z|24.44.Z|23.51.Z|23.64.Z
Surowce i półprodukty,Kauczuk,17.23.Z,25.63.Z|24.54.A|22.25.Z|23.13.Z|16.12.Z
Surowce i półprodukty,Kruszywa,20.20.A,24.34.Z|23.14.Z|17.23.Z|25.94.Z|24.54.A
Surowce i półprodukty,Metale,25.51.Z,24.41.Z|23.51.Z|25.52.Z|24.45.Z|17.24.Z
Surowce i półprodukty,Odlewnictwo,24.51.Z,24.52.Z|24.53.Z|24.54.A|24.54.B|16.24.Z
